"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-04-28","91.6","1.4","6.24","Kershaw, Clayton",592206,477132,,"called_strike",,,,,"9","Nick Castellanos strikes out swinging.","R","R","L","LAD","CIN","S",,,"0","0",2021,"0.21","1.75","0.61","2.22",,,"669222","1","6","Top",,,,,"605131",,,-2.4327374903156325,-133.23073579105142,-8.050924761206703,3.04795127801569,27.97517846292231,-9.808446355021234,"3.73","1.71",,,,"91.5","2555","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.31",,,,,,,,"41","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","180","0","-0.044"
"CU","2021-04-28","76.1","1.07","6.35","Kershaw, Clayton",608385,477132,"strikeout","swinging_strike_blocked",,,,,"14","Jesse Winker strikes out swinging.","R","L","L","LAD","CIN","S","2",,"0","2",2021,"-0.42","-1.43","0.24","0.97",,,"669222","0","6","Top",,,,,"605131",,,-0.9969698963025905,-110.7529956719769,-1.6342776372170242,-3.2294230131141095,21.16088094149609,-43.77100918206872,"3.49","1.6",,,,"75.8","2774","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.27",,,"0","1","0","0",,"40","3","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","346","0.048","-0.264"
"FF","2021-04-28","91.5","1.26","6.19","Kershaw, Clayton",608385,477132,,"foul",,,,,"6","Jesse Winker strikes out swinging.","R","L","L","LAD","CIN","S",,,"0","1",2021,"0.26","1.67","0.45","2.41",,,"669222","0","6","Top",,,,,"605131",,,-2.603418854614684,-133.14015868877354,-7.250962796547106,3.624184490015127,29.07804434023065,-10.967883149067788,"3.49","1.6","191","62.9","35","91.4","2457","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.26",,,,,,,,"40","2","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","179","0","-0.067"
"SL","2021-04-28","88.6","1.48","6.24","Kershaw, Clayton",608385,477132,,"swinging_strike",,,,,"13","Jesse Winker strikes out swinging.","R","L","L","LAD","CIN","S",,,"0","0",2021,"-0.54","0.77","-1.17","1.67",,,"669222","0","6","Top",,,,,"605131",,,-5.306602744071019,-128.86405975946263,-6.74647041910577,-5.111300756815317,24.109765390338872,-22.483273779921774,"3.49","1.6",,,,"88.7","2784","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.32",,,,,,,,"40","1","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","205","0","-0.049"
"CU","2021-04-28","74.7","1.3","6.33","Kershaw, Clayton",669222,477132,"single","hit_into_play",,,,,"9","Nick Senzel singles on a soft ground ball to third baseman Justin Turner.","R","R","L","LAD","CIN","X","5","ground_ball","0","1",2021,"-0.38","-1.27","0.59","1.48",,,,"0","6","Top",104.42,181.88,,,"605131",,,-0.7945990183742139,-108.7314536162428,-0.4868142747995916,-2.8031051289026765,20.994776433898558,-42.344283503612296,"3.41","1.56","2","59.9","-40","74.2","2634","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.38","0.086","0.077","0.9","1","1","0","2","39","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","344","-0.054","0.439"
"SL","2021-04-28","88.0","1.61","6.2","Kershaw, Clayton",669222,477132,,"called_strike",,,,,"8","Nick Senzel singles on a soft ground ball to third baseman Justin Turner.","R","R","L","LAD","CIN","S",,,"0","0",2021,"-0.32","0.95","-0.20","1.45",,,,"0","6","Top",,,,,"605131",,,-3.702216855168915,-127.98636170000698,-7.388013486938156,-2.8267647541486647,24.95313692940443,-20.48286101723411,"3.26","1.54",,,,"87.9","2829","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.38",,,,,,,,"39","1","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","192","0","-0.042"
"CU","2021-04-28","73.9","1.35","6.38","Kershaw, Clayton",543243,477132,"field_out","hit_into_play",,,,,"4","Sonny Gray grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","R","L","LAD","CIN","X","5","ground_ball","0","2",2021,"-0.78","-1.41","-0.39","2.63",,,,"2","5","Top",100.83,153.31,,,"605131",,,-2.166374983404543,-107.46334512342675,2.222218481537676,-5.510171284388447,22.557611825319484,-43.62694289525393,"3.3","1.5","12","84.1","-13","72.7","2685","5.9",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.59","0.091","0.082","0","1","0","0","2","35","3","Curveball","2","0","0","2","0","2","0","2","Standard","Strategic","342","0.012","-0.067"
"FF","2021-04-28","91.4","1.61","6.19","Kershaw, Clayton",543243,477132,,"foul",,,,,"2","Sonny Gray grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","R","L","LAD","CIN","S",,,"0","1",2021,"-0.23","1.54","0.01","3.19",,,,"2","5","Top",,,,,"605131",,,-3.5257795903980473,-133.05675353363893,-4.999200082733547,-1.9389449275453692,29.8464540513596,-12.992681503164157,"3.3","1.5","236","78.5","29","91.2","2550","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.25",,,,,,,,"35","2","4-Seam Fastball","2","0","0","2","0","2","0","2","Standard","Standard","177","0","-0.027"
"FF","2021-04-28","91.2","1.47","6.16","Kershaw, Clayton",543243,477132,,"foul",,,,,"13","Sonny Gray grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","R","L","LAD","CIN","S",,,"0","0",2021,"-0.22","1.47","-1.09","2.40",,,,"2","5","Top",,,,,"605131",,,-5.959856647190464,-132.58044937405566,-6.6994285242989875,-1.2245316041047951,29.243214708719794,-13.58183197532428,"3.3","1.5","4","58.2","-32","91","2445","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.22",,,,,,,,"35","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Standard","Standard","178","0","-0.017"
"SL","2021-04-28","88.8","1.6","6.16","Kershaw, Clayton",571657,477132,"strikeout","swinging_strike_blocked",,,,,"13","Kyle Farmer strikes out swinging.","R","R","L","LAD","CIN","S","2",,"0","2",2021,"-0.65","0.56","-0.62","0.59",,,,"1","5","Top",,,,,"605131",,,-4.070155439239952,-129.04275868487844,-8.689336818048174,-6.3267238935493895,27.91643901322798,-24.27293084625758,"3.37","1.53",,,,"88.4","2804","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.32",,,"0","1","0","0",,"34","3","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","201","0.019","-0.103"
