"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FS","2021-04-29","88.4","0.4","6.39","Chapman, Aroldis",663624,547973,,"foul",,,,,"3","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S",,,"1","2",2021,"-0.01","-0.1","0.60","3.63",,,,"0","9","Bot",,,,,"596142",,,0.538390778465818,-128.86568837109112,-0.5674048593644068,-0.21853761993382456,22.306114577967772,-33.386396975440086,"3.55","1.63","324","99.8","22","91","927","7.4",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.07",,,,,,,,"73","5","Split-Finger","3","3","3","3","3","3","3","3","Standard","Standard","81","0","0"
"SI","2021-04-29","101.1","0.71","6.32","Chapman, Aroldis",663624,547973,,"foul",,,,,"6","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S",,,"1","2",2021,"1.01","1.36","0.58","2.73",,,,"0","9","Bot",,,,,"596142",,,-2.8105842111781976,-147.03209884631966,-8.04900731745548,15.304969317990833,34.758761950937654,-10.682660871112612,"3.55","1.63","247","75.9","32","102.5","2488","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.43",,,,,,,,"73","4","Sinker","3","3","3","3","3","3","3","3","Standard","Standard","159","0","0"
"FF","2021-04-29","98.3","0.7","6.3","Chapman, Aroldis",663624,547973,,"foul",,,,,"6","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S",,,"1","1",2021,"0.21","1.53","0.29","2.44",,,,"0","9","Bot",,,,,"596142",,,-1.6082262407950003,-143.03733294222758,-8.654178419714311,3.2084566619524297,32.42393717270977,-9.431153222519505,"3.55","1.63","191","79.3","65","99.9","2313","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.36",,,,,,,,"73","3","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","150","0","-0.06"
"FF","2021-04-29","98.6","0.72","6.33","Chapman, Aroldis",663624,547973,,"ball",,,,,"12","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","B",,,"0","1",2021,"0.26","1.49","1.20","3.52",,,,"0","9","Bot",,,,,"596142",,,0.6784875923371544,-143.45363748481358,-5.701347207593681,3.486653096030637,34.41337691518919,-10.575949754543364,"3.62","1.71",,,,"99.8","2383","7",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.47",,,,,,,,"73","2","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","153","0","0.032"
"FF","2021-04-29","96.1","0.44","6.21","Chapman, Aroldis",663624,547973,,"foul",,,,,"8","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S",,,"0","0",2021,"0.77","1.53","0.13","1.71",,,,"0","9","Bot",,,,,"596142",,,-2.6238148507343046,-139.71288980434537,-9.962316257790773,10.689157570997098,30.56011728618259,-10.055907198113328,"3.55","1.63","167","77.9","15","97.6","2391","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.4",,,,,,,,"73","1","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","151","0","-0.042"
"FF","2021-04-23","98.8","0.29","6.22","Chapman, Aroldis",644374,547973,"field_out","hit_into_play",,,,,"11","Yu Chang pops out to catcher Gary Sanchez.","R","R","L","CLE","NYY","X","2","popup","3","2",2021,"0.37","1.43","-1.00","2.61",,,,"2","9","Bot",133.18,191.7,,,"596142",,,-4.4305314941352805,-143.77855407536273,-7.86067598095817,6.083022512768115,32.30362262865766,-10.673189520323806,"3.41","1.56","34","62.8","80","100.4","2320","7.1",634437,547973,"596142","518934","596059","570482","650402","643565","543305","592450","53.42","0","0","0","1","0","0","3","71","8","4-Seam Fastball","3","5","3","5","5","3","3","5","Standard","Standard","161","-0.014","-0.135"
"FF","2021-04-23","99.0","0.47","6.21","Chapman, Aroldis",644374,547973,,"foul",,,,,"1","Yu Chang pops out to catcher Gary Sanchez.","R","R","L","CLE","NYY","S",,,"3","2",2021,"0.48","1.65","-0.47","3.14",,,,"2","9","Bot",,,,,"596142",,,-3.750677404695867,-143.99717189897825,-6.89178178789919,7.537645312625409,35.235147787654086,-7.809383015959327,"3.41","1.56","188","70.6","41","100.5","2408","7.2",634437,547973,"596142","518934","596059","570482","650402","643565","543305","592450","53.27",,,,,,,,"71","7","4-Seam Fastball","3","5","3","5","5","3","3","5","Standard","Standard","157","-0.014","0"
"FF","2021-04-23","98.2","0.51","6.24","Chapman, Aroldis",644374,547973,,"foul",,,,,"1","Yu Chang pops out to catcher Gary Sanchez.","R","R","L","CLE","NYY","S",,,"3","2",2021,"0.39","1.47","-0.39","2.84",,,,"2","9","Bot",,,,,"596142",,,-3.380808840392977,-142.84208794427323,-7.199923615977454,6.186938463015759,33.81041672468248,-10.598975609610868,"3.41","1.56","139","70.8","69","99.1","2466","6.9",634437,547973,"596142","518934","596059","570482","650402","643565","543305","592450","53.63",,,,,,,,"71","6","4-Seam Fastball","3","5","3","5","5","3","3","5","Standard","Standard","163","-0.014","0"
"FF","2021-04-23","97.3","0.35","6.23","Chapman, Aroldis",644374,547973,,"called_strike",,,,,"7","Yu Chang pops out to catcher Gary Sanchez.","R","R","L","CLE","NYY","S",,,"3","1",2021,"0.28","1.73","-0.68","1.93",,,,"2","9","Bot",,,,,"596142",,,-3.4655230657097773,-141.32539320773972,-10.134326265503198,4.517724099600508,32.989824125171005,-6.816662629932747,"3.41","1.58",,,,"98.8","2479","7.3",634437,547973,"596142","518934","596059","570482","650402","643565","543305","592450","53.21",,,,,,,,"71","5","4-Seam Fastball","3","5","3","5","5","3","3","5","Standard","Standard","161","-0.014","-0.041"
"FF","2021-04-23","98.1","0.5","6.28","Chapman, Aroldis",644374,547973,,"called_strike",,,,,"8","Yu Chang pops out to catcher Gary Sanchez.","R","R","L","CLE","NYY","S",,,"3","0",2021,"0.39","1.69","0.18","1.97",,,,"2","9","Bot",,,,,"596142",,,-1.7711182534947607,-142.60920383283317,-10.21701779542296,5.695810554751757,33.89512358757311,-7.007719980563446,"3.31","1.59",,,,"99.5","2501","7.2",634437,547973,"596142","518934","596059","570482","650402","643565","543305","592450","53.3",,,,,,,,"71","4","4-Seam Fastball","3","5","3","5","5","3","3","5","Standard","Standard","160","-0.014","-0.023"
